Title,Year,Console,Publisher,Developer,Genre,Format,Summary,Rating,Value,Condition
Animal Crossing: New Horizons,2020,Nintendo Switch,Nintendo,Nintendo EPD,Simulation/Life-Sim,Physical,"Customize a tropical island paradise, build community, and enjoy seasonal events in this relaxing life-simulation experience",9.6,34.99,Complete
Armorines: Project S.W.A.R.M.,1999,Nintendo 64,Acclaim Entertainment,Acclaim Studios London,First-Person Shooter,Physical,"Futuristic marine FPS battling alien arachnids across varied Earth and space environments, featuring co-op and 4-player multiplayer",6.7,9.99,Loose
Black,2006,PlayStation 2,Electronic Arts,Criterion Games,First-Person Shooter,Physical,Intense first-person shooter featuring Sergeant Jack Kellar leading a BLACK ops team on dangerous missions with Hollywood-inspired action and destructible environments,7.8,14.95,Good
Borderlands Legendary Collection,2020,Nintendo Switch,2K Games,Gearbox Software Compilation,Looter Shooter/RPG,Physical,"Includes Borderlands 1, 2 & Pre-Sequel with DLC—chaotic co-op mayhem on the go",8.4,18.58,Loose
Brute Force,2003,Xbox,Microsoft,Digital Anvil,Squad-Based Shooter,Physical,Squad-based third-person shooter featuring four distinct characters with unique abilities on tactical sci-fi missions,7.2,12.5,Good
Duke Nukem: Zero Hour,1999,Nintendo 64,GT Interactive,Eurocom,Third-Person Shooter,Physical,"Aliens alter history; Duke travels through time-periods like Old West, Victorian London, post-apocalyptic future, and present to save the timeline",7.8,22.99,Loose
Fable,2004,Xbox,Microsoft Game Studios,Big Blue Box,Action RPG,Physical,Hero's journey in magical Albion with moral choices shaping character development,85,8.87,Good
Faxanadu,1989,Nintendo Entertainment System,Nintendo (NA/EU) / Hudson Soft (JP),Hudson Soft (licensed by Nihon Falcom),Action-Role-Playing / Platform-Adventure,Physical,"A lone wanderer ascends the World Tree in a dark fantasy action-RPG, wielding weapons and magic to restore his ravaged homeland",7.9,11.99,Loose
God of War,2005,PlayStation 2,Sony Computer Entertainment,Santa Monica Studio,Action,Physical,Spartan warrior seeks revenge against Ares in brutal Greek mythology adventure,94,19.82,Good
God of War II,2007,PlayStation 2,Sony Computer Entertainment,Santa Monica Studio,Action,Physical,Kratos battles Zeus and the Olympian gods in epic mythological sequel,93,13.99,Good
Goosebumps: Dead of Night,2020,Nintendo Switch,Cosmic Forces,Cosmic Forces,Survival Adventure/Horror,Physical,"Explore haunted locations, evade monsters, and solve eerie puzzles in a first-person survival adventure inspired by Goosebumps",4.5,12.11,Complete
Gran Turismo 4,2005,PlayStation 2,Sony Computer Entertainment,Polyphony Digital,Racing Simulation,Physical,Ultimate driving simulator with over 700 cars and authentic racing physics,89,14.52,Good
Guitar Hero III: Legends of Rock,2007,Xbox 360,Activision,Neversoft,Music/Rhythm,Physical,"Simulated guitar rhythm game with over 70 tracks, boss battles, wireless controller, Co-Op and online play modes",9,10.96,Complete
Guitar Hero Live,2015,Xbox 360,Activision,FreeStyleGames (Neversoft lineage),Music/Rhythm,Physical,"Immersive rhythm game with a redesigned guitar controller and live-action, first-person concert visuals",8.5,9.06,Complete
Guitar Hero World Tour,2008,Xbox 360,Activision,Neversoft,Music/Rhythm,Physical,"Band-style rhythm game with guitar, drums, vocals, and song-creation tools for full band performance",8.5,12.34,Complete
Halo: Combat Evolved,2001,Xbox,Microsoft Game Studios,Bungie,First-Person Shooter,Physical,Master Chief battles Covenant forces on mysterious Halo ringworld,97,13.79,Good
Hotel Transylvania 3: Monsters Overboard,2018,Nintendo Switch,Outright Games,Torus Games,Adventure/Strategy,Physical,"Play as Dracula or Mavis directing Impa creatures across Lost Islands to battle enemies, solve puzzles, and rescue the Drac-Pack",5.5,10.87,Complete
Human: Fall Flat,2016,Nintendo Switch,Curve Digital,No Brakes Games,Puzzle/Platform,Physical,"Navigate surreal physics-based dreamscapes with clumsy, hilarious motions—ideal for co-op exploration",6.8,14.42,Loose
Killzone,2004,PlayStation 2,Sony Computer Entertainment,Guerrilla Games,First-Person Shooter,Physical,Futuristic warfare between ISA forces and militaristic Helghast Empire,70,10,Good
Legion: The Legend of Excalibur,2002,PlayStation 2,Midway Games,7 Studios,Action RPG,Physical,Arthurian legend adventure with knights battling through medieval quests,65,9.99,Good
LEGO City Undercover,2017,Nintendo Switch,Warner Bros.,TT Games,Action-Adventure,Physical,"Play as Chase McCain in a humorous open-world Lego City, solving crime in a GTA-style sandbox",7.6,15,Loose
Lord of the Rings: Fellowship of the Ring,2002,PlayStation 2,Vivendi Universal Games,WXP,Action Adventure,Physical,Follow Frodo's journey from Hobbiton to Rivendell in Tolkien adaptation,73,12.99,Good
Lord of the Rings: Return of the King,2003,PlayStation 2,EA Games,EA Redwood Shores,Action,Physical,Epic finale following multiple heroes through battles of Third Age,84,15.99,Good
Lord of the Rings: The Two Towers,2002,PlayStation 2,EA Games,Stormfront Studios,Action,Physical,Action-packed adaptation featuring Aragorn Legolas and Gimli's adventures,86,14.99,Good
Madden NFL 11,2010,Wii,EA Sports,EA Tiburon,Sports,Physical,"Introduces GameFlow, revamped Franchise Mode, and 3-on-3 Online Team Play for streamlined football gameplay",7.4,5.64,Complete
Manhunt,2003,PlayStation 2,Rockstar Games,Rockstar North,Stealth Horror,Physical,Death row inmate forced to participate in snuff films in violent urban nightmare,75,25,Disc Only
Mario Kart 8 Deluxe,2017,Nintendo Switch,Nintendo,Nintendo EAD,Racing,Physical,"Expanded Deluxe version with every DLC, intuitive kart controls, and chaotic multiplayer racing fun",8.8,45,Loose
Mario Kart Wii,2008,Nintendo Wii,Nintendo,Nintendo EAD,Kart Racing,Physical,"Race with Mario and friends on new and classic tracks using Wii Wheel or controllers, featuring bike races and online multiplayer",8.2,28.94,Complete
Metal Gear Solid: The Essential Collection,2008,PlayStation 2,Konami,Kojima Productions,Compilation/Stealth-Action,Physical,"Contains Metal Gear Solid (PS1 original), plus MGS2: Substance and MGS3: Subsistence in one commemorative package",8.1,71.38,Complete
Midnight Club 2,2003,PlayStation 2,Rockstar Games,Rockstar San Diego,Racing,Physical,Underground street racing through Los Angeles Paris and Tokyo,83,16.99,Good
Midnight Club 3: DUB Edition,2005,PlayStation Portable,Rockstar Games,Rockstar Leeds,Racing,Physical,"High-speed open-city street racing across San Diego, Atlanta, and Detroit with deep vehicle customization and multiplayer",7.4,19.9,Loose
My Hero One’s Justice,2018,Nintendo Switch,Bandai Namco Entertainment,Byking Inc.,Fighting/3D Arena,Physical,"3D arena fighter in the My Hero Academia universe, where heroes and villains battle with unique Quirks in cinematic comic-book style",7.2,12.11,Complete
Narnia: Prince Caspian,2008,PlayStation 2,Disney Interactive,Traveller's Tales,Action Adventure,Physical,Return to magical Narnia to help Prince Caspian reclaim his throne,68,9.99,Good
Need for Speed: Underground 2,2004,PlayStation 2,EA Games,EA Black Box,Racing,Physical,Customizable street racing with underground culture and urban exploration,85,18.99,Good
Onimusha: Warlords,2001,PlayStation 2,Capcom,Capcom,Action Adventure,Physical,Samurai warrior battles demons in feudal Japan with supernatural powers,86,10,Good
Orphen: Scion of Sorcery,2000,PlayStation 2,Activision,Shade,Action RPG,Physical,Young sorcerer's quest through magical realms with spell-casting combat system,62,12.99,Good
Pokemon Scarlet,2022,Nintendo Switch,Nintendo/Game Freak,Nintendo/Game Freak,RPG/Open World,Physical,"Open-world Pokémon adventure in Paldea with free exploration, version-exclusive forms, and cooperative online gameplay",7.8,38.74,Complete
Pokemon Violet,2022,Nintendo Switch,Nintendo/Game Freak,Nintendo/Game Freak,RPG/Open World,Physical,"Explore Paldea’s open world, uncover exclusive forms, and master Tera transformations in an ambitious but technically inconsistent Pokémon RPG",7.2,39.99,Complete
Quake,1998,Nintendo 64,Midway Games / GT Interactive,Midway Games,First-Person Shooter,Physical,"N64 port offering most single-player levels and two-player deathmatch; smoother visuals, but omits several PC levels",7.4,21,Loose
Race with Ryan,2019,Nintendo Switch,Outright Games,Outright Games,Racing/Kids,Physical,"Kart racing starring YouTuber Ryan, featuring simple controls and family-friendly tracks",5,7.5,Loose
Rainbow Six 3,2003,PlayStation 2,Ubisoft,Ubisoft Montreal,Tactical Shooter,Physical,Counter-terrorism operations with squad-based tactical combat and planning,79,8.99,Good
Rec Room Games,2009,Wii,Destineer,Destineer,Action-Adventure/Party,Physical,Family-friendly compilation of 20 intuitive mini-games like table sports and Whack-a-Mole for group play,6,9.95,New (Sealed)
